date,commissioner,pollster,sample,moe,SF,DUP,AP,UUP,SDLP,TUV,GP,AON,PBP,IND
19 January 2026,The Belfast Telegraph,LucidTalk,,,25,19,11,13,11,11,4,2,1,3
15 December 2025,The Irish News,SMR,,,25.3,19.2,12.6,12,9.2,10.4,5.1,,2.6,3.6
20 October 2025,The Belfast Telegraph,LucidTalk,,,25,18,11,12,11,13,4,2,2,2
11 August 2025,The Belfast Telegraph,LucidTalk,,,26,17,12,11,11,13,3,2,2,3
19 May 2025,The Belfast Telegraph,LucidTalk,,,26,18,13,12,11,12,3,2,1,2
17 February 2025,The Belfast Telegraph,LucidTalk,,,28,19,14,11,11,11,2,1,1,2
4 November 2024,The Belfast Telegraph,LucidTalk,,,29,19,13,10,10,11,2,1,2,3
19 August 2024,The Belfast Telegraph,LucidTalk,,,30,18,15,12,8,9,2,1,1,4
17 May 2024,The Belfast Telegraph,LucidTalk,,,29,21,15,11,8,8,1,2,1,4
12 February 2024,The Belfast Telegraph,LucidTalk,,,31,24,14,10,7,6,1,2,1,4
30 October 2023,The Belfast Telegraph,LucidTalk,,,31,28,16,8,6,4,2,1,1,2
14 August 2023,The Belfast Telegraph,LucidTalk,,,31,26,15,10,6,5,2,2,1,2
24 April 2023,The Belfast Telegraph,LucidTalk,,,29,25,13,11,7,7,2,2,1,3
14 March 2023,The Irish News,SMR,,,31,24,15,11,7,5,3,0,2,2
23 January 2023,The Belfast Telegraph,LucidTalk,,,31,25,15,7,7,7,1,2,1,1
12 November 2022,The Belfast Telegraph,LucidTalk,,,32,27,15,9,7,5,2,1,1,1
21 August 2022,The Belfast Telegraph,LucidTalk,,,30,24,16,11,7,6,2,2,1,1
25 July 2022,The Irish News,SMR,,,31,20,15,10,10,5,3,,2,4
3 May 2022,The Irish News,SMR,,,27,18,18,12,11,6,3,,2,2
28 April 2022,The Belfast Telegraph,LucidTalk,,,26,20,14,14,10,9,3,,2,2
26 March 2022,The Irish News,SMR,,,27,20,16,14,10,5,4,,2,2
21 March 2022,The Belfast Telegraph,LucidTalk,,,26,19,16,13,11,9,2,,2,2
7 February 2022,The Irish News,SMR,,,23,19,16,14,10,6,6,,2,3
23 January 2022,The Belfast Telegraph,LucidTalk,,,25,17,14,14,11,12,3,,1,3
11 November 2021,The Belfast Telegraph,LucidTalk,,,24,18,15,14,12,11,1,0,2,2
29 October 2021,The Irish News,SMR,,,24,21,17,13,11,6,4,,1,3
28 August 2021,The Belfast Telegraph,LucidTalk,,,25,13,13,16,13,14,2,,2,2
17 May 2021,The Belfast Telegraph,LucidTalk,,,25,16,16,14,12,11,2,,2,2
25 January 2021,The Belfast Telegraph,LucidTalk,,,24,19,18,12,13,10,2,,1,4
5 October 2020,The Belfast Telegraph,LucidTalk,,,24,23,16,12,13,6,3,,2,1
26 February 2018,The Belfast Telegraph,LucidTalk,,,32,34,8,10,9,2,2,,2,2
4 December 2017,The Belfast Telegraph,LucidTalk,,,33,34,8,9,9,1,2,,1,4
11 September 2017,The Belfast Telegraph,LucidTalk,,,31,36,9,10,9,1,2,,2,1
26 February 2017,The Belfast Telegraph,LucidTalk,,,25,26,10,14,12,4,3,,2,3
28 January 2017,The Belfast Telegraph,LucidTalk,,,25,26,9,14,13,4,4,,3,3
1 April 2016,The Belfast Telegraph,LucidTalk,,,26,27,8,12,16,4,3,,,5
12 February 2016,The Belfast Telegraph,LucidTalk,,,25,27,8,11,15,4,3,,,9
21 October 2015,The Belfast Telegraph,LucidTalk,,,25,26,8,11,15,3,2,,,10
17 September 2013,The Belfast Telegraph,LucidTalk,,,26,29,10,14,11,2,1,,,6
26 January 2013,The Belfast Telegraph,LucidTalk,,,23,24,10,19,13,,,,,11
5 May 2011,The Belfast Telegraph,LucidTalk,,,26,29,8,14,13,2,1,,,7